maxpool
latent size single: 16
[736/15000], training loss: 0.1110
[744/15000], training loss: 0.1141
[752/15000], training loss: 0.1077
[760/15000], training loss: 0.0998
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[768/15000], training loss: 0.1050
[776/15000], training loss: 0.1110
[784/15000], training loss: 0.1102
[792/15000], training loss: 0.1102
[800/15000], training loss: 0.1061
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[808/15000], training loss: 0.0988
[816/15000], training loss: 0.1054
[824/15000], training loss: 0.1062
[832/15000], training loss: 0.1022
[840/15000], training loss: 0.0942
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[848/15000], training loss: 0.1057
[856/15000], training loss: 0.1034
[864/15000], training loss: 0.1275
[872/15000], training loss: 0.1140
[880/15000], training loss: 0.1115
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[888/15000], training loss: 0.1095
[896/15000], training loss: 0.1007
[904/15000], training loss: 0.0916
[912/15000], training loss: 0.0966
[920/15000], training loss: 0.1057
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[928/15000], training loss: 0.0906
[936/15000], training loss: 0.0997
[944/15000], training loss: 0.1040
[952/15000], training loss: 0.0920
[960/15000], training loss: 0.0899
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[968/15000], training loss: 0.1052
[976/15000], training loss: 0.0914
[984/15000], training loss: 0.1025
[992/15000], training loss: 0.1123
[1000/15000], training loss: 0.0982
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1008/15000], training loss: 0.1039
[1016/15000], training loss: 0.0945
[1024/15000], training loss: 0.0901
[1032/15000], training loss: 0.0934
[1040/15000], training loss: 0.1013
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1048/15000], training loss: 0.1015
[1056/15000], training loss: 0.1020
[1064/15000], training loss: 0.1058
[1072/15000], training loss: 0.0928
[1080/15000], training loss: 0.1023
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1088/15000], training loss: 0.1057
[1096/15000], training loss: 0.0955
[1104/15000], training loss: 0.0986
[1112/15000], training loss: 0.0920
[1120/15000], training loss: 0.0892
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1128/15000], training loss: 0.1169
[1136/15000], training loss: 0.1064
[1144/15000], training loss: 0.1056
[1152/15000], training loss: 0.1078
[1160/15000], training loss: 0.1095
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1168/15000], training loss: 0.0895
[1176/15000], training loss: 0.0995
[1184/15000], training loss: 0.1006
[1192/15000], training loss: 0.0964
[1200/15000], training loss: 0.0918
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1208/15000], training loss: 0.0926
[1216/15000], training loss: 0.0916
[1224/15000], training loss: 0.0964
[1232/15000], training loss: 0.0841
[1240/15000], training loss: 0.0920
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1248/15000], training loss: 0.1066
[1256/15000], training loss: 0.0890
[1264/15000], training loss: 0.0968
[1272/15000], training loss: 0.0915
[1280/15000], training loss: 0.0877
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1288/15000], training loss: 0.0886
[1296/15000], training loss: 0.0997
[1304/15000], training loss: 0.0895
[1312/15000], training loss: 0.0968
[1320/15000], training loss: 0.0982
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1328/15000], training loss: 0.0798
[1336/15000], training loss: 0.1021
[1344/15000], training loss: 0.0857
[1352/15000], training loss: 0.0992
[1360/15000], training loss: 0.0834
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1368/15000], training loss: 0.0936
[1376/15000], training loss: 0.0929
[1384/15000], training loss: 0.0874
[1392/15000], training loss: 0.0922
[1400/15000], training loss: 0.1163
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1408/15000], training loss: 0.0958
[1416/15000], training loss: 0.0838
[1424/15000], training loss: 0.1027
[1432/15000], training loss: 0.0991
[1440/15000], training loss: 0.0962
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1448/15000], training loss: 0.0959
[1456/15000], training loss: 0.0858
[1464/15000], training loss: 0.0866
[1472/15000], training loss: 0.1051
[1480/15000], training loss: 0.0900
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1488/15000], training loss: 0.0929
[1496/15000], training loss: 0.0836
[1504/15000], training loss: 0.0913
[1512/15000], training loss: 0.0860
[1520/15000], training loss: 0.0837
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1528/15000], training loss: 0.1035
[1536/15000], training loss: 0.0955
[1544/15000], training loss: 0.0948
[1552/15000], training loss: 0.0936
[1560/15000], training loss: 0.0843
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1568/15000], training loss: 0.0978
[1576/15000], training loss: 0.1068
[1584/15000], training loss: 0.0811
[1592/15000], training loss: 0.0827
[1600/15000], training loss: 0.0988
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1608/15000], training loss: 0.0869
[1616/15000], training loss: 0.0831
[1624/15000], training loss: 0.0857
[1632/15000], training loss: 0.0972
[1640/15000], training loss: 0.0817
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1648/15000], training loss: 0.0969
[1656/15000], training loss: 0.1054
[1664/15000], training loss: 0.1018
[1672/15000], training loss: 0.0891
[1680/15000], training loss: 0.0819
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1688/15000], training loss: 0.0882
[1696/15000], training loss: 0.0823
[1704/15000], training loss: 0.0969
[1712/15000], training loss: 0.0973
[1720/15000], training loss: 0.0987
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1728/15000], training loss: 0.0831
[1736/15000], training loss: 0.0765
[1744/15000], training loss: 0.0838
[1752/15000], training loss: 0.1002
[1760/15000], training loss: 0.0814
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1768/15000], training loss: 0.0983
[1776/15000], training loss: 0.0931
[1784/15000], training loss: 0.0864
[1792/15000], training loss: 0.0856
[1800/15000], training loss: 0.0993
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1808/15000], training loss: 0.0930
[1816/15000], training loss: 0.0933
[1824/15000], training loss: 0.1050
[1832/15000], training loss: 0.0952
[1840/15000], training loss: 0.1003
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1848/15000], training loss: 0.0898
[1856/15000], training loss: 0.0868
[1864/15000], training loss: 0.0693
[1872/15000], training loss: 0.0909
[1880/15000], training loss: 0.0893
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1888/15000], training loss: 0.0959
[1896/15000], training loss: 0.0935
[1904/15000], training loss: 0.0916
[1912/15000], training loss: 0.0888
[1920/15000], training loss: 0.0962
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1928/15000], training loss: 0.0906
[1936/15000], training loss: 0.0996
[1944/15000], training loss: 0.0983
[1952/15000], training loss: 0.0873
[1960/15000], training loss: 0.0845
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[1968/15000], training loss: 0.1224
[1976/15000], training loss: 0.1027
[1984/15000], training loss: 0.0936
[1992/15000], training loss: 0.1029
[2000/15000], training loss: 0.0815
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2008/15000], training loss: 0.0856
[2016/15000], training loss: 0.1036
[2024/15000], training loss: 0.0883
[2032/15000], training loss: 0.0811
[2040/15000], training loss: 0.1082
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2048/15000], training loss: 0.0867
[2056/15000], training loss: 0.0777
[2064/15000], training loss: 0.0955
[2072/15000], training loss: 0.1012
[2080/15000], training loss: 0.1086
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2088/15000], training loss: 0.1220
[2096/15000], training loss: 0.0989
[2104/15000], training loss: 0.0869
[2112/15000], training loss: 0.0738
[2120/15000], training loss: 0.0979
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2128/15000], training loss: 0.0948
[2136/15000], training loss: 0.0906
[2144/15000], training loss: 0.0896
[2152/15000], training loss: 0.0963
[2160/15000], training loss: 0.0928
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2168/15000], training loss: 0.0714
[2176/15000], training loss: 0.0806
[2184/15000], training loss: 0.0862
[2192/15000], training loss: 0.0821
[2200/15000], training loss: 0.0822
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2208/15000], training loss: 0.0642
[2216/15000], training loss: 0.0799
[2224/15000], training loss: 0.0665
[2232/15000], training loss: 0.0868
[2240/15000], training loss: 0.0805
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2248/15000], training loss: 0.0783
[2256/15000], training loss: 0.0906
[2264/15000], training loss: 0.0966
[2272/15000], training loss: 0.0735
[2280/15000], training loss: 0.0768
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2288/15000], training loss: 0.0791
[2296/15000], training loss: 0.1360
[2304/15000], training loss: 0.0919
[2312/15000], training loss: 0.0738
[2320/15000], training loss: 0.0827
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2328/15000], training loss: 0.0868
[2336/15000], training loss: 0.0868
[2344/15000], training loss: 0.0776
[2352/15000], training loss: 0.0808
[2360/15000], training loss: 0.0924
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2368/15000], training loss: 0.0666
[2376/15000], training loss: 0.0900
[2384/15000], training loss: 0.1056
[2392/15000], training loss: 0.0844
[2400/15000], training loss: 0.0812
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2408/15000], training loss: 0.0797
[2416/15000], training loss: 0.0746
[2424/15000], training loss: 0.0805
[2432/15000], training loss: 0.0830
[2440/15000], training loss: 0.0966
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2448/15000], training loss: 0.0935
[2456/15000], training loss: 0.0853
[2464/15000], training loss: 0.0938
[2472/15000], training loss: 0.0720
[2480/15000], training loss: 0.0783
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2488/15000], training loss: 0.0852
[2496/15000], training loss: 0.0844
[2504/15000], training loss: 0.0922
[2512/15000], training loss: 0.0872
[2520/15000], training loss: 0.0805
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2528/15000], training loss: 0.0862
[2536/15000], training loss: 0.0750
[2544/15000], training loss: 0.0737
[2552/15000], training loss: 0.0790
[2560/15000], training loss: 0.0719
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2568/15000], training loss: 0.0911
[2576/15000], training loss: 0.0707
[2584/15000], training loss: 0.0866
[2592/15000], training loss: 0.0843
[2600/15000], training loss: 0.0925
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2608/15000], training loss: 0.0927
[2616/15000], training loss: 0.0818
[2624/15000], training loss: 0.0803
[2632/15000], training loss: 0.0851
[2640/15000], training loss: 0.0905
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2648/15000], training loss: 0.0732
[2656/15000], training loss: 0.0930
[2664/15000], training loss: 0.0897
[2672/15000], training loss: 0.0843
[2680/15000], training loss: 0.1010
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2688/15000], training loss: 0.0977
[2696/15000], training loss: 0.0859
[2704/15000], training loss: 0.0696
[2712/15000], training loss: 0.0960
[2720/15000], training loss: 0.1161
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2728/15000], training loss: 0.0743
[2736/15000], training loss: 0.0809
[2744/15000], training loss: 0.0708
[2752/15000], training loss: 0.0982
[2760/15000], training loss: 0.0871
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2768/15000], training loss: 0.0845
[2776/15000], training loss: 0.0813
[2784/15000], training loss: 0.0941
[2792/15000], training loss: 0.0876
[2800/15000], training loss: 0.0664
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2808/15000], training loss: 0.0792
[2816/15000], training loss: 0.0615
[2824/15000], training loss: 0.0687
[2832/15000], training loss: 0.0785
[2840/15000], training loss: 0.0858
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2848/15000], training loss: 0.0712
[2856/15000], training loss: 0.0674
[2864/15000], training loss: 0.0950
[2872/15000], training loss: 0.0849
[2880/15000], training loss: 0.0827
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2888/15000], training loss: 0.0767
[2896/15000], training loss: 0.0951
[2904/15000], training loss: 0.0707
[2912/15000], training loss: 0.0761
[2920/15000], training loss: 0.1028
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2928/15000], training loss: 0.0821
[2936/15000], training loss: 0.0709
[2944/15000], training loss: 0.0828
[2952/15000], training loss: 0.0772
[2960/15000], training loss: 0.0817
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[2968/15000], training loss: 0.0825
[2976/15000], training loss: 0.0938
[2984/15000], training loss: 0.0706
[2992/15000], training loss: 0.0813
[3000/15000], training loss: 0.0728
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3008/15000], training loss: 0.0679
[3016/15000], training loss: 0.0650
[3024/15000], training loss: 0.0671
[3032/15000], training loss: 0.0635
[3040/15000], training loss: 0.0807
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3048/15000], training loss: 0.0630
[3056/15000], training loss: 0.0663
[3064/15000], training loss: 0.0808
[3072/15000], training loss: 0.0840
[3080/15000], training loss: 0.0945
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3088/15000], training loss: 0.1080
[3096/15000], training loss: 0.0715
[3104/15000], training loss: 0.0766
[3112/15000], training loss: 0.0728
[3120/15000], training loss: 0.0728
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3128/15000], training loss: 0.0660
[3136/15000], training loss: 0.0573
[3144/15000], training loss: 0.0767
[3152/15000], training loss: 0.0848
[3160/15000], training loss: 0.0763
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3168/15000], training loss: 0.0678
[3176/15000], training loss: 0.0573
[3184/15000], training loss: 0.1110
[3192/15000], training loss: 0.0921
[3200/15000], training loss: 0.0718
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3208/15000], training loss: 0.0669
[3216/15000], training loss: 0.1096
[3224/15000], training loss: 0.0966
[3232/15000], training loss: 0.0865
[3240/15000], training loss: 0.0768
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3248/15000], training loss: 0.0690
[3256/15000], training loss: 0.0669
[3264/15000], training loss: 0.0826
[3272/15000], training loss: 0.0800
[3280/15000], training loss: 0.0571
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3288/15000], training loss: 0.0640
[3296/15000], training loss: 0.0804
[3304/15000], training loss: 0.0696
[3312/15000], training loss: 0.0736
[3320/15000], training loss: 0.0681
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3328/15000], training loss: 0.0861
[3336/15000], training loss: 0.0673
[3344/15000], training loss: 0.0874
[3352/15000], training loss: 0.0767
[3360/15000], training loss: 0.0863
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3368/15000], training loss: 0.0837
[3376/15000], training loss: 0.0645
[3384/15000], training loss: 0.0785
[3392/15000], training loss: 0.0923
[3400/15000], training loss: 0.0645
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3408/15000], training loss: 0.0701
[3416/15000], training loss: 0.0758
[3424/15000], training loss: 0.0752
[3432/15000], training loss: 0.0838
[3440/15000], training loss: 0.0810
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3448/15000], training loss: 0.0881
[3456/15000], training loss: 0.1064
[3464/15000], training loss: 0.0767
[3472/15000], training loss: 0.0898
[3480/15000], training loss: 0.0717
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3488/15000], training loss: 0.0771
[3496/15000], training loss: 0.0966
[3504/15000], training loss: 0.0843
[3512/15000], training loss: 0.0620
[3520/15000], training loss: 0.0666
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3528/15000], training loss: 0.0688
[3536/15000], training loss: 0.0702
[3544/15000], training loss: 0.0855
[3552/15000], training loss: 0.0744
[3560/15000], training loss: 0.0809
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3568/15000], training loss: 0.0684
[3576/15000], training loss: 0.0736
[3584/15000], training loss: 0.0726
[3592/15000], training loss: 0.0740
[3600/15000], training loss: 0.0782
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3608/15000], training loss: 0.0761
[3616/15000], training loss: 0.0685
[3624/15000], training loss: 0.0780
[3632/15000], training loss: 0.0769
[3640/15000], training loss: 0.0826
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3648/15000], training loss: 0.0779
[3656/15000], training loss: 0.0980
[3664/15000], training loss: 0.0750
[3672/15000], training loss: 0.0697
[3680/15000], training loss: 0.0782
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3688/15000], training loss: 0.0612
[3696/15000], training loss: 0.0767
[3704/15000], training loss: 0.0817
[3712/15000], training loss: 0.0824
[3720/15000], training loss: 0.0722
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3728/15000], training loss: 0.0709
[3736/15000], training loss: 0.0663
[3744/15000], training loss: 0.0711
[3752/15000], training loss: 0.0616
[3760/15000], training loss: 0.0690
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3768/15000], training loss: 0.0626
[3776/15000], training loss: 0.0583
[3784/15000], training loss: 0.0706
[3792/15000], training loss: 0.0648
[3800/15000], training loss: 0.0655
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3808/15000], training loss: 0.0709
[3816/15000], training loss: 0.0752
[3824/15000], training loss: 0.0773
[3832/15000], training loss: 0.0608
[3840/15000], training loss: 0.0881
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3848/15000], training loss: 0.0762
[3856/15000], training loss: 0.0796
[3864/15000], training loss: 0.0648
[3872/15000], training loss: 0.0933
[3880/15000], training loss: 0.0841
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3888/15000], training loss: 0.0658
[3896/15000], training loss: 0.0670
[3904/15000], training loss: 0.0836
[3912/15000], training loss: 0.0669
[3920/15000], training loss: 0.0914
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3928/15000], training loss: 0.0847
[3936/15000], training loss: 0.0822
[3944/15000], training loss: 0.1008
[3952/15000], training loss: 0.0707
[3960/15000], training loss: 0.0628
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[3968/15000], training loss: 0.0803
[3976/15000], training loss: 0.0998
[3984/15000], training loss: 0.0743
[3992/15000], training loss: 0.0627
[4000/15000], training loss: 0.0758
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4008/15000], training loss: 0.0626
[4016/15000], training loss: 0.0692
[4024/15000], training loss: 0.0772
[4032/15000], training loss: 0.0741
[4040/15000], training loss: 0.0766
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4048/15000], training loss: 0.0664
[4056/15000], training loss: 0.0795
[4064/15000], training loss: 0.0769
[4072/15000], training loss: 0.0788
[4080/15000], training loss: 0.0577
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4088/15000], training loss: 0.0713
[4096/15000], training loss: 0.0610
[4104/15000], training loss: 0.0788
[4112/15000], training loss: 0.0804
[4120/15000], training loss: 0.1024
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4128/15000], training loss: 0.0633
[4136/15000], training loss: 0.0690
[4144/15000], training loss: 0.0746
[4152/15000], training loss: 0.0908
[4160/15000], training loss: 0.0667
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4168/15000], training loss: 0.0628
[4176/15000], training loss: 0.0837
[4184/15000], training loss: 0.0724
[4192/15000], training loss: 0.0578
[4200/15000], training loss: 0.0716
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4208/15000], training loss: 0.0799
[4216/15000], training loss: 0.0645
[4224/15000], training loss: 0.0765
[4232/15000], training loss: 0.0804
[4240/15000], training loss: 0.0589
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4248/15000], training loss: 0.1455
[4256/15000], training loss: 0.0797
[4264/15000], training loss: 0.0859
[4272/15000], training loss: 0.0994
[4280/15000], training loss: 0.1150
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4288/15000], training loss: 0.0717
[4296/15000], training loss: 0.0821
[4304/15000], training loss: 0.0768
[4312/15000], training loss: 0.0866
[4320/15000], training loss: 0.0844
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4328/15000], training loss: 0.0688
[4336/15000], training loss: 0.0685
[4344/15000], training loss: 0.0664
[4352/15000], training loss: 0.0706
[4360/15000], training loss: 0.0806
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4368/15000], training loss: 0.0974
[4376/15000], training loss: 0.0684
[4384/15000], training loss: 0.0680
[4392/15000], training loss: 0.0653
[4400/15000], training loss: 0.0712
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4408/15000], training loss: 0.0749
[4416/15000], training loss: 0.0701
[4424/15000], training loss: 0.0689
[4432/15000], training loss: 0.0751
[4440/15000], training loss: 0.0834
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4448/15000], training loss: 0.0723
[4456/15000], training loss: 0.0730
[4464/15000], training loss: 0.0961
[4472/15000], training loss: 0.0733
[4480/15000], training loss: 0.0914
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4488/15000], training loss: 0.0804
[4496/15000], training loss: 0.1263
[4504/15000], training loss: 0.1100
[4512/15000], training loss: 0.0801
[4520/15000], training loss: 0.0665
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4528/15000], training loss: 0.0620
[4536/15000], training loss: 0.0591
[4544/15000], training loss: 0.0727
[4552/15000], training loss: 0.0594
[4560/15000], training loss: 0.0677
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4568/15000], training loss: 0.0628
[4576/15000], training loss: 0.0740
[4584/15000], training loss: 0.0813
[4592/15000], training loss: 0.0661
[4600/15000], training loss: 0.0674
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4608/15000], training loss: 0.0692
[4616/15000], training loss: 0.0631
[4624/15000], training loss: 0.0650
[4632/15000], training loss: 0.0711
[4640/15000], training loss: 0.0764
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4648/15000], training loss: 0.0882
[4656/15000], training loss: 0.0786
[4664/15000], training loss: 0.0916
[4672/15000], training loss: 0.0698
[4680/15000], training loss: 0.0754
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4688/15000], training loss: 0.0894
[4696/15000], training loss: 0.0874
[4704/15000], training loss: 0.0759
[4712/15000], training loss: 0.0568
[4720/15000], training loss: 0.0550
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4728/15000], training loss: 0.0825
